Symbols,Healthy_1_S1.CEL,Healthy_2_S1.CEL,Healthy_3_S1.CEL,Healthy_4_S1.CEL,Healthy_5_S1.CEL,DCIS_1_S1.CEL,DCIS_2_S1.CEL,DCIS_3_S1.CEL,DCIS_4_S1.CEL,DCIS_5_S1.CEL,DCIS_6_S1.CEL,DCIS_7_S1.CEL,DCIS_8_S1.CEL,DCIS_9_S1.CEL
LINC02996,6.120088321,8.181263506,5.648218403,8.487006148,8.222408809,3.42413821,3.817824152,3.875049699,3.650120642,3.254193839,3.871720512,3.01729957,3.656762065,4.410446271
S100B,2.839876736,2.814569895,2.881990035,2.931127316,3.013699544,2.896486508,2.817707242,2.895837447,2.927472762,2.931212192,3.083449557,2.931373911,2.859701953,2.740799868
ACVR1C,9.018204147,8.179742254,6.712123598,9.479086092,7.776085384,3.662916955,4.049787385,3.597622253,4.602167921,3.715602393,4.289040196,3.188209351,3.692672607,4.557233901
ERBB3,5.809528879,5.708177706,5.987815869,5.845897414,5.574437183,5.825573891,5.526144319,5.897277396,5.383167123,5.658984249,5.565931793,5.698827589,5.638823093,5.517703956
ERBB3,6.256796969,6.467409922,6.10128734,6.594773578,6.473146844,6.301346285,6.112359885,5.996621417,6.381137921,6.289663518,6.562569053,6.292274151,6.411463419,6.354961613
SPP1,3.188213162,3.125678389,3.106668558,3.27256389,3.795352014,7.944601958,4.452518306,5.222559889,7.4252519,6.969212615,7.103033539,7.349529581,7.213784893,6.261583788
CDH1,3.930106807,4.484222721,4.817467481,3.607332697,4.052963075,4.275020243,4.098025947,5.234151895,4.845770974,5.916653236,5.659153895,6.331202928,4.755953631,4.832474402
CDH1,4.838141437,9.79025846,10.86262746,4.491691026,9.121544748,9.908077431,10.26012794,11.72874988,10.96881081,12.08587473,11.84891229,12.13152253,10.85415023,10.93371407
SDC1,5.410885003,8.150312186,8.284914296,5.98790428,7.938739821,10.09518857,10.1017234,10.18742307,10.25299776,10.64675644,9.616277999,10.26637199,10.1547528,10.24999948
SDC1,5.631085755,8.626439102,8.658051139,6.140031996,7.835493715,10.796938,10.4937892,11.29713183,11.10456991,11.36907742,10.16480682,11.10862913,11.07326643,11.26701446
