X,logFC,AveExpr,t,P.Value,adj.P.Val,B
214434_at,2.46073355104562,7.03127929629083,5.68862306678796,6.45755604093265e-05,0.00198497127960465,1.9152906792754
214279_s_at,2.45846584320959,6.87991704177409,5.99581847556888,3.83619059606448e-05,0.00146061086935812,2.43304581624572
214582_at,2.45576693986823,6.85523704179032,5.69069179001458,6.43466668527593e-05,0.00198035878244321,1.91882340425411
1555778_a_at,-2.45560467007417,10.2703515693559,-4.62052921845586,0.000436340124422211,0.00678716822269826,0.0131080030686217
202095_s_at,-2.45415147024413,6.11631002926362,-7.15813818982685,6.01438480885968e-06,0.000523407440713701,4.26587454002057
244444_at,2.45261208840626,4.81255734214224,5.17961264111367,0.000157503100144663,0.00351632584745181,1.02761291111114
210869_s_at,2.45134561680993,7.74387639080219,6.8322106102447,9.92749016462257e-06,0.000670105586112023,3.77201597648765
218865_at,2.45021140086765,8.74288495749583,6.68157538806381,1.2574966990721e-05,0.000777756018345781,3.53851361676293
202489_s_at,-2.44822381188258,9.55031200166034,-4.65223037701091,0.000411412864267005,0.00654210931413969,0.0716292882018008
233011_at,2.44745570832946,4.83383529724016,3.63456402861564,0.00286171847445287,0.0243676152609735,-1.84920831866275
218959_at,-2.4455323089375,7.75539665285656,-7.74658059032286,2.51960297951456e-06,0.000334367215788735,5.11893066670406
207828_s_at,-2.4449895039727,7.22749185126571,-6.97587475632229,7.94605998150202e-06,0.000592702359466061,3.99160904912533
219121_s_at,-2.44402641873839,7.67279063604974,-5.30447827992194,0.000126147071754074,0.00304376999615648,1.24870909132699
215145_s_at,-2.44281927767381,6.63193874033243,-5.2934820235395,0.000128626642743129,0.00308585418691558,1.22932355209938
239461_at,2.44198200161946,6.2116804498913,6.86481944611223,9.43601445157622e-06,0.000650585233467755,3.82212423484145
238009_at,2.44177214234912,5.70972022035189,8.29258868943691,1.16753667087119e-06,0.000241799498029857,5.86766750796293
228885_at,2.44163863350669,7.82596057660765,6.12751769509915,3.08095175292391e-05,0.0013017854489267,2.65076234886078
223430_at,2.43985506011927,7.93432865314895,7.65102142489265,2.89339010294565e-06,0.000363669204318514,4.98371279935687
