probes,Symbols,X,DCIS_1_S1.CEL,DCIS_2_S1.CEL,DCIS_3_S1.CEL,DCIS_4_S1.CEL,DCIS_5_S1.CEL,DCIS_6_S1.CEL,DCIS_7_S1.CEL,DCIS_8_S1.CEL,DCIS_9_S1.CEL,Healthy_1_S1.CEL,Healthy_2_S1.CEL,Healthy_3_S1.CEL,Healthy_4_S1.CEL,Healthy_5_S1.CEL
224078_at,MFSD14CP,224078_at,6.656352999,6.733799474,6.434974095,6.680043709,6.677412245,6.675817505,6.800764138,6.532314573,6.87032877,7.232180289,6.880611082,6.807739873,6.678886575,6.680875549
224079_at,IL17C,224079_at,6.368763098,6.102168128,6.683385854,6.174123422,6.453735434,6.543222153,6.414687917,6.308006196,6.318047052,6.336423075,6.278124643,6.361134915,6.536627686,6.414325915
224080_at,NA,224080_at,3.19423382,3.07458298,2.936402624,3.170852736,2.957857592,2.852662419,3.072349177,3.255064257,3.225759235,3.01372655,3.087614724,3.083054356,2.983285782,3.056134057
224081_at,NA,224081_at,2.972760111,2.866580001,2.998309332,3.163568946,2.925299604,3.007650614,2.884489332,3.146718367,2.797806975,2.931555128,3.024589203,2.828324148,2.878029953,3.04350652
224082_at,NA,224082_at,5.213802717,4.926306366,5.090030661,5.042055037,5.540088322,5.309994664,5.704812592,5.078531226,5.221939183,5.289384942,4.964472692,5.182852222,5.308860788,5.003050585
224083_s_at,NA,224083_s_at,2.858605227,2.801861127,3.008015974,2.857407248,3.058861073,2.861528898,2.93987086,3.058861073,2.863302937,2.986771067,2.905848588,2.894642493,2.883360707,3.075808606
224084_at,NA,224084_at,3.528396262,3.078077167,3.570676573,3.359182839,3.323241789,3.610016018,3.585380941,3.708810629,3.511064979,3.50205363,3.503611273,3.373396104,3.375540179,3.161485407
224085_at,NA,224085_at,3.900841813,3.901730079,3.86589746,3.885799532,4.060031731,3.782826858,3.905973014,3.861739396,4.003659424,3.838695816,3.756157492,3.926503059,4.068792664,3.875338856
224086_at,NA,224086_at,4.443883659,4.673022195,4.516443877,4.470817834,4.747675956,4.684911367,4.76532196,4.468346941,4.468346941,4.201670586,4.317144181,4.222382351,4.321753407,4.470258179
224087_at,NA,224087_at,5.335770407,4.749290092,5.315042964,5.202303617,5.086321271,5.211880791,5.14848722,5.315913716,5.378983445,5.459448022,5.285657308,5.183747866,5.2205542,5.010654779
224088_at,NMUR2,224088_at,5.52064357,5.163717178,5.843201294,5.404028605,5.70932053,5.635763443,5.457395284,5.603546034,5.635763443,5.607966339,5.582900873,5.622762436,5.837440701,5.744178377
224089_at,NA,224089_at,4.121050127,4.220750182,4.065137975,4.252773621,4.112185695,4.018732895,4.103847624,4.188850195,4.278669481,4.052592444,3.904499323,4.146289624,4.174471311,4.111734215
224090_s_at,TNFRSF19,224090_s_at,5.478895581,5.384602294,5.642913834,5.436094707,5.618288463,5.177398104,5.610459676,5.503320122,5.481692699,5.537681976,5.548717298,5.805845782,5.681001429,5.628023735
224091_at,NA,224091_at,4.004419065,3.865762872,3.954303574,3.783951618,3.912076479,3.888628021,3.932559411,4.195753222,3.897410921,3.94842906,3.865932314,3.989486235,3.723300731,4.375291113
224092_at,BARHL1,224092_at,6.653373796,6.670957382,7.023973625,6.644344395,6.566963885,6.756829939,6.797013416,6.697740653,6.634375058,6.886168259,6.923216753,6.743337242,6.586227701,6.91519904
224093_at,IFNK,224093_at,3.1052249,3.253306824,3.201793492,3.132161879,3.362049593,3.143665752,3.132161879,3.166303833,2.939543777,3.318689573,3.577036761,3.164227484,3.401347671,3.308808217
224094_at,NA,224094_at,3.027450286,3.215893197,3.262475903,2.960813191,3.142088853,3.159843327,3.256110496,3.278203018,3.11311138,2.984099086,3.0062981,2.927477484,3.334145386,3.243047833
224095_at,NA,224095_at,3.918647402,4.079440085,3.665544323,3.6966281,3.596000993,3.798901972,3.792862634,3.379949428,3.555796309,3.500004391,3.466772151,3.655805023,3.592001871,3.506139072
224096_at,MIR4755,224096_at,6.445769061,6.144159247,6.306632911,6.086878451,6.364601493,6.369669341,6.364849824,6.51838439,6.610441333,6.214408716,6.315605562,6.452302138,6.258690793,6.545911204
224097_s_at,F11R,224097_s_at,8.671298419,7.832709124,8.062350114,7.921400249,8.388952108,7.677963805,8.653478493,8.467617184,8.292133267,7.682075719,7.369466461,7.307545017,7.759656173,7.57258653
224098_at,NA,224098_at,3.289316128,3.255572519,3.289316128,3.289316128,3.230862776,3.012945188,3.414359225,3.140470805,3.291508379,3.628577944,3.308337621,3.302035363,3.355440479,3.320865397
224099_at,KCNH7,224099_at,4.377433077,4.690995965,4.561358532,4.623774481,4.440107872,4.522246705,4.564825519,4.516800085,4.388638101,4.55587413,4.497717475,4.380734788,4.623774481,4.755595742
224100_s_at,DPYSL5,224100_s_at,5.566407652,5.815900146,5.829725879,5.555979508,5.48874877,5.869933967,5.468223326,5.859948668,5.492321581,5.52437778,5.640162343,5.526206052,5.643786101,5.341319652
224101_x_at,MRS2,224101_x_at,2.835662074,2.97358517,3.006444642,2.986149935,2.928456016,2.917509854,3.026810024,2.926937439,2.934813644,2.934503134,2.85574375,3.075434033,2.794991716,2.888499933
224102_at,P2RY12,224102_at,3.930155604,3.584191865,3.95853345,4.246673567,3.947086148,4.246091025,3.8054391,3.919988632,3.908641068,5.836563304,5.373341498,4.451782277,4.678598625,5.302146377
224103_at,NA,224103_at,3.470553256,3.590766137,3.626563571,3.560874211,3.540284732,3.753551069,3.496546395,3.52377421,3.773328329,3.40451565,3.202794369,3.427967955,3.361473759,3.702583026
224104_at,NA,224104_at,4.271933328,3.836819685,4.21215644,4.16495106,3.907839114,4.147620214,4.183983183,3.880096882,4.21217999,4.080735471,3.915987112,3.930279963,4.289466939,4.510351609
224105_x_at,NA,224105_x_at,4.340089332,4.432315927,4.343650896,4.284401132,4.336291956,4.306427731,4.543985904,4.275137444,4.362779575,4.338344966,4.221603448,4.49412234,4.454775955,4.563620108
224106_at,NTMT1,224106_at,5.477608562,5.848646389,5.485060378,5.859764009,5.381549756,5.819711733,6.076117616,5.613296232,5.549762216,5.446315299,5.190531116,6.095028042,5.491897092,5.648330284
224107_at,NA,224107_at,3.628090628,3.772716923,3.385732094,3.422502826,3.735211171,3.747204349,3.420173149,3.667385888,3.782552913,3.840360008,4.21626356,3.793599965,3.817889049,3.589835109
224108_at,NA,224108_at,4.005347235,4.077200331,3.874262376,3.752508317,3.774530522,3.618960845,3.625966666,3.802066094,3.341253618,3.758704101,3.858918499,3.916375143,3.765251784,3.716790325
224109_at,NA,224109_at,3.359782983,3.376835841,3.273552409,3.135076754,3.380000078,3.250202023,3.374330344,3.24326283,3.144325374,3.363733885,3.39614292,3.132272525,3.573488206,3.451834297
224110_at,PRO1804,224110_at,3.240247177,3.14449785,3.266717795,3.178690158,3.083449557,3.289534255,3.220979663,3.203862816,3.120716104,3.173057543,3.358072749,3.417748446,3.308359645,3.413367201
224111_x_at,KLF16,224111_x_at,7.211684442,7.21366563,7.260812747,7.026357539,7.246251504,7.334459659,7.244812717,7.032103615,7.197429653,6.907021951,7.225506965,7.227844956,7.090735922,7.19418289
224112_at,NA,224112_at,3.09491555,3.206071102,3.033223483,2.822727373,3.091738213,3.145392424,2.839876736,2.809601041,3.015241139,3.052694474,2.720677096,2.695278674,2.941145182,3.070334518
224113_at,CARD14,224113_at,6.303103456,5.757686421,6.160523052,6.259275826,6.279471295,6.338923939,6.373866771,6.38649914,6.136588059,6.242557569,5.912599138,6.530909941,6.30485751,6.143611607
224114_at,NA,224114_at,3.018643826,2.862784871,3.016904638,2.9845121,3.055548484,3.106937753,3.064538369,2.804247726,3.053404883,2.846440174,2.9021633,3.156336605,3.048783104,2.777509748
224115_at,NA,224115_at,3.291395966,3.732377649,3.510262402,3.22117324,3.344609551,3.155926684,3.328138205,3.224090104,3.296198751,3.332948143,3.121434203,3.193660545,3.233067073,3.261848993
224116_at,NA,224116_at,3.388874017,3.173881158,3.143937023,3.270915477,3.11895635,3.344704459,3.379532531,3.207807982,3.096791046,3.12160725,3.301386977,3.398599165,3.236764635,3.316973697
224117_at,LOC284912,224117_at,5.338904237,5.438457172,5.556061298,5.462070167,5.246860508,5.524896074,5.219621593,5.5405017,5.380198471,5.64288716,5.434788779,5.23483662,5.530613571,5.358837461
224118_at,UBE2B,224118_at,5.005930284,5.15144081,5.216140895,4.854307336,5.303767655,5.1263634,4.948969642,4.8736923,4.98976569,5.294536522,5.043253304,4.98976569,4.884218612,5.013310065
224119_at,ZBTB46-AS1,224119_at,4.272286747,4.252589025,4.501951232,4.449098024,4.512561856,4.517877006,4.182613263,4.426395039,4.510829707,4.295589338,4.412115366,4.441129213,4.037321258,4.610725438
224120_at,NA,224120_at,4.454056772,4.415969304,4.770623145,4.214414414,4.371750905,4.299505271,4.141848457,4.379394452,4.384237181,4.302223511,4.414846246,4.46785289,4.435612932,4.220571364
224121_x_at,PLEKHB2,224121_x_at,5.699289056,5.70225698,5.899545091,5.836107451,5.852099236,5.571720406,5.610699321,5.83854909,5.789756332,5.579423862,5.703090405,6.095525446,5.791050621,5.91554484
224122_at,NA,224122_at,4.190080222,4.091424521,4.708428546,4.075142063,4.26560958,4.441094382,4.324427177,4.353155816,4.343413545,4.239266949,4.329125655,4.374119252,4.342309844,4.220377144
224123_at,LINC03129,224123_at,3.910516546,3.636764539,3.785249021,3.476227664,3.821655606,3.577162841,3.73475914,3.537718842,3.599181687,3.519929711,3.687931132,3.621289468,3.424415891,3.54813035
224124_at,ZRANB3,224124_at,4.108779049,4.088478239,3.912773376,4.065292262,3.841667248,3.948224516,3.95898318,4.011458952,3.93936715,3.85279223,3.702944744,3.763857283,3.621289468,3.455392528
224125_at,PLEKHN1,224125_at,6.606434798,6.128806604,6.759636845,6.563033473,6.485876799,6.539506191,6.481449213,6.521883225,6.582577224,6.922288314,6.471593994,6.47244,6.39408645,6.384325049
224126_at,SLC10A7,224126_at,2.833856161,2.794617882,2.997909433,2.903324585,2.930583951,3.03607384,2.84197991,3.017336261,2.952287926,3.18705219,2.798640037,3.132272525,2.92509142,2.950220787
224127_at,NA,224127_at,3.327806537,3.299649079,3.319491595,3.123577945,3.231058519,3.04539817,3.239488175,3.198248347,3.168655244,3.127357706,3.049302762,3.223663918,3.459793846,3.424554884
224128_at,RTF2,224128_at,4.637147072,4.696016925,4.450919541,4.379933184,4.600949932,4.283696615,4.447999029,4.449658107,4.422604049,4.47920782,4.436057751,4.655317059,4.418352679,4.406704056
224129_s_at,DPY30,224129_s_at,9.948667611,9.792330153,10.2698366,9.839006928,10.20351028,9.770215577,10.26511079,10.08297878,9.894080071,9.597845407,9.46164084,9.635891381,9.361844713,9.169080224
224130_s_at,SRA1,224130_s_at,7.809860156,7.959078936,7.876583494,7.931308664,8.179747866,8.122754178,8.170603107,8.108316602,7.741705639,7.673455452,7.498154256,6.857901278,7.273670823,7.651345274
224131_at,HCAR1,224131_at,3.839092474,4.229792751,4.028914119,3.911302454,3.813156862,4.132793933,3.906215314,3.720238869,3.82305648,4.265716747,3.769123997,3.71911772,4.173064171,3.791823151
224132_at,NA,224132_at,5.569527758,5.909109743,5.667357073,5.605755304,5.458773768,5.659560651,5.589296007,5.348648894,5.755984089,5.694605224,5.852649983,5.625118968,5.583098138,5.705957874
224133_at,NA,224133_at,6.227371445,5.940417835,6.534713032,6.257255755,6.42352036,6.174947241,6.206477456,6.231657116,6.184448762,6.208135546,6.347963608,6.293496494,6.248324575,6.52234741
224134_at,NA,224134_at,5.09434694,4.882495425,5.564560813,5.274810667,5.27730786,4.926825183,5.319005839,5.098513511,5.150757437,5.958561723,5.062701347,5.210842485,5.187981602,5.298729368
224135_at,WDR87,224135_at,4.473450558,4.530867635,4.734088818,4.608165807,4.708720684,4.518551419,4.430374951,4.527731106,4.287506006,4.704943931,4.460902188,4.653996663,4.603009084,5.16328053
224136_at,NA,224136_at,3.962903852,3.595636685,3.603024236,3.507383025,3.56962021,3.52200425,3.587561574,3.56059529,3.621289468,3.553486023,3.640587026,3.558144338,3.579003077,3.643575985
