probes,Symbols,Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
219059_s_at,LYVE1,219059_s_at,3.357183222,8.336728118,6.165890043,2.89e-05,0.001257103,2.713713738
218186_at,RAB25,218186_at,-3.349265394,8.881836354,-4.915818572,0.000253473,0.004795369,0.553741449
218039_at,NUSAP1,218039_at,-3.347268043,7.387242615,-6.603664902,1.42e-05,0.000833752,3.416429948
205828_at,MMP3,205828_at,-3.346740701,7.176385241,-8.099611835,1.53e-06,0.00027447,5.60762028
209616_s_at,NA,209616_s_at,3.346436022,8.601564308,5.790982817,5.42e-05,0.001785478,2.089343639
224327_s_at,DGAT2,224327_s_at,3.345675229,9.201129837,6.821570506,1.01e-05,0.000677973,3.755632131
226213_at,ERBB3,226213_at,-3.339444553,9.387702212,-4.234261764,0.000901766,0.011066756,-0.708120805
209555_s_at,CD36,209555_s_at,3.336032266,10.16272371,4.094769727,0.001176539,0.013227901,-0.971771003
209614_at,ADH1B,209614_at,3.33291898,7.234749502,9.017057881,4.44e-07,0.000154651,6.80105379
202454_s_at,ERBB3,202454_s_at,-3.328557094,8.329596868,-4.617524544,0.000438782,0.0068174,0.007555569
230323_s_at,TMEM45B,230323_s_at,-3.326533578,5.952763071,-7.147898098,6.11e-06,0.00052924,4.250593083
228568_at,MYZAP,228568_at,3.322802353,7.668640586,8.767560131,6.15e-07,0.000170902,6.487078931
223828_s_at,LGALS12,223828_s_at,3.318864434,7.01972391,6.771553923,1.09e-05,0.000706242,3.678392687
237395_at,CYP4Z1,237395_at,-3.315706063,7.38298859,-2.682741391,0.018318882,0.087306909,-3.649097338
225846_at,ESRP1,225846_at,-3.312214956,8.332908778,-4.326064438,0.000757754,0.009904426,-0.5354464
232164_s_at,EPPK1,232164_s_at,-3.310682293,8.532494561,-4.210241969,0.000943901,0.01140504,-0.75341517
1555854_at,NA,1555854_at,3.305352218,5.296545325,7.3209817,4.71e-06,0.000461173,4.506861568
228434_at,BTNL9,228434_at,3.303791937,8.083598263,10.32171918,8.9e-08,7.98e-05,8.32407734
235144_at,RASEF,235144_at,-3.288175604,7.361575896,-6.561698638,1.52e-05,0.000870858,3.350297853
222317_at,PDE3B,222317_at,3.284862707,5.281318609,5.697858897,6.36e-05,0.00197196,1.931057764
229839_at,SCARA5,229839_at,3.26867029,8.328907729,6.19197886,2.77e-05,0.001225272,2.756388776
239153_at,HOTAIR,239153_at,-3.262820514,5.581666238,-8.50482688,8.74e-07,0.000206864,6.14802634
222513_s_at,SORBS1,222513_s_at,3.260318241,9.231097136,9.403960904,2.71e-07,0.000133344,7.273024306
219956_at,GALNT6,219956_at,-3.260191348,8.801614065,-6.66521449,1.29e-05,0.000787442,3.512950929
211699_x_at,NA,211699_x_at,3.256844086,11.98937696,7.732590761,2.57e-06,0.000338717,5.099213872
218585_s_at,DTL,218585_s_at,-3.255537807,6.770899016,-5.094325862,0.000183511,0.003853104,0.875395258
204389_at,MAOA,204389_at,3.2544138,7.111995,7.946432521,1.89e-06,0.000300948,5.397659439
242828_at,FIGN,242828_at,3.252823023,6.718550892,11.76659869,1.79e-08,4.91e-05,9.802922633
211726_s_at,FMO2,211726_s_at,3.251176924,8.661809102,15.90777098,3.98e-10,7.26e-06,13.10664242
213855_s_at,LIPE,213855_s_at,3.24566125,5.703177422,5.825345593,5.11e-05,0.001723622,2.147432012
239262_at,NA,239262_at,3.240599812,8.008933783,7.111309329,6.46e-06,0.00054591,4.195867298
217414_x_at,HBA2,217414_x_at,3.224591081,11.99473365,7.981044642,1.8e-06,0.000291648,5.445378713
204914_s_at,SOX11,204914_s_at,-3.214130118,6.622807325,-3.348725054,0.004999778,0.035691714,-2.396023319
205242_at,CXCL13,205242_at,-3.204042111,7.160166816,-3.130759594,0.007658873,0.047726108,-2.81108676
229802_at,CCN4,229802_at,-3.194367321,6.446822338,-6.837469236,9.85e-06,0.00066907,3.780107177
222587_s_at,GALNT7,222587_s_at,-3.18304464,7.61124957,-8.21826452,1.29e-06,0.000252499,5.76809568
224146_s_at,ABCC11,224146_s_at,-3.178469705,7.207230733,-4.728145827,0.000357531,0.005956118,0.211314933
1569003_at,NA,1569003_at,-3.1768969,8.776965023,-6.212447936,2.68e-05,0.001200234,2.789800554
229778_at,SPX,229778_at,3.17609887,5.604180987,4.152162429,0.001054345,0.01224953,-0.86312081
210387_at,NA,210387_at,-3.174830666,6.326797133,-3.605800055,0.003026568,0.025290786,-1.904259179
226248_s_at,ELAPOR1,226248_s_at,-3.168840018,9.728772222,-4.127288248,0.001105622,0.012649063,-0.910181704
205357_s_at,AGTR1,205357_s_at,3.1671385,7.678376877,5.061060067,0.000194834,0.004009245,0.815763739
229150_at,NA,229150_at,-3.166917413,8.702541597,-6.941446741,8.38e-06,0.000611455,3.93926022
223484_at,C15orf48,223484_at,-3.166494369,6.83514815,-6.746032867,1.14e-05,0.000724804,3.638839311
209458_x_at,NA,209458_x_at,3.164956584,12.00068466,7.925818546,1.95e-06,0.000302319,5.369162001
231262_at,NA,231262_at,3.162471969,5.646423981,8.397999966,1.01e-06,0.00022191,6.007643679
234709_at,CAPN13,234709_at,-3.161151563,5.523626738,-4.659244313,0.0004061,0.00649225,0.084562228
203296_s_at,ATP1A2,203296_s_at,3.159378538,6.838771934,11.08429668,3.74e-08,5.71e-05,9.129671234
1554044_a_at,MRAP,1554044_a_at,3.155964912,7.482769496,6.543211884,1.57e-05,0.000881331,3.321082943
