probes,Symbols,Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
225207_at,PDK4,225207_at,2.764065558,9.829627354,5.257709206,0.000137051,0.003211136,1.166144392
1553583_a_at,THRSP,1553583_a_at,2.763629021,6.977332002,7.309902141,4.79e-06,0.000463071,4.490585775
238919_at,PCDH9,238919_at,2.761341834,4.834163212,6.418585331,1.91e-05,0.000980986,3.122811326
211696_x_at,HBB,211696_x_at,2.751590077,12.26604909,7.078374526,6.79e-06,0.000557334,4.146441086
209911_x_at,H2BC5,209911_x_at,-2.748530603,8.54547011,-5.351959125,0.000116,0.002878928,1.332222987
239398_at,KLHL31,239398_at,2.74696566,5.208016276,6.793976916,1.05e-05,0.000695875,3.713065476
205890_s_at,NA,205890_s_at,-2.746699798,7.950155418,-3.901494171,0.001705705,0.01710554,-1.33917626
208609_s_at,TNXB,208609_s_at,2.745360313,8.581963466,6.146604457,2.99e-05,0.001276229,2.682102247
216834_at,RGS1,216834_at,-2.745210024,8.775710833,-4.934801218,0.000244867,0.00467951,0.588138518
222083_at,GLYAT,222083_at,2.744281074,6.6969569,7.068385116,6.89e-06,0.000559645,4.131418619
205220_at,HCAR3,205220_at,2.743990782,6.885100933,6.006188132,3.77e-05,0.001452771,2.450281276
242736_at,NA,242736_at,2.743268032,7.016778724,10.15342783,1.09e-07,8.62e-05,8.138251697
235368_at,ADAMTS5,235368_at,2.741810173,8.839424195,6.070336333,3.39e-05,0.001374155,2.556549127
236044_at,PLPP4,236044_at,-2.737733226,6.67809588,-4.302560586,0.000792208,0.010199109,-0.579587132
243584_at,NA,243584_at,2.730108199,8.364946407,6.906563584,8.84e-06,0.000625546,3.886042765
203065_s_at,CAV1,203065_s_at,2.720036392,10.69016614,9.114464033,3.91e-07,0.000153216,6.921563391
203435_s_at,MME,203435_s_at,2.719662382,8.462967475,10.05022192,1.23e-07,8.88e-05,8.02279603
223764_x_at,NIPSNAP3B,223764_x_at,2.718229765,5.434574691,6.505349393,1.66e-05,0.000910116,3.261090156
219902_at,BHMT2,219902_at,2.716233169,7.920222057,7.957926567,1.86e-06,0.000297819,5.413524136
202988_s_at,RGS1,202988_s_at,-2.713767796,6.707253972,-6.679590449,1.26e-05,0.000779317,3.535414403
224917_at,NA,224917_at,-2.708080202,9.547916199,-6.255651955,2.49e-05,0.001138629,2.860118505
203397_s_at,GALNT3,203397_s_at,-2.707353074,8.069274533,-3.627933283,0.002898895,0.024587683,-1.861898183
229152_at,FDCSP,229152_at,-2.705045885,6.972804627,-4.225110677,0.000917586,0.011191882,-0.725371685
242350_s_at,ST8SIA6-AS1,242350_s_at,-2.704613963,7.100123339,-3.662661533,0.00270947,0.02351433,-1.795440956
201688_s_at,TPD52,201688_s_at,-2.700801151,7.297428689,-5.020235495,0.000209731,0.004223589,0.742386221
1555230_a_at,KCNIP2,1555230_a_at,2.699097775,4.886820772,5.727814023,6.04e-05,0.001911585,1.982111028
206159_at,GDF10,206159_at,2.691439865,5.773097047,5.758944956,5.73e-05,0.001851129,2.03503016
221577_x_at,GDF15,221577_x_at,-2.689974164,6.443200713,-4.104015592,0.001155914,0.013063162,-0.954252159
217388_s_at,KYNU,217388_s_at,-2.682763087,7.802007853,-4.815487718,0.000304476,0.005378742,0.371203167
219935_at,ADAMTS5,219935_at,2.680045988,9.256048524,6.20118983,2.73e-05,0.001212723,2.771431585
210715_s_at,SPINT2,210715_s_at,-2.678319284,9.401469394,-4.791922644,0.000317931,0.005518382,0.32815339
231856_at,ARFGEF3,231856_at,-2.675123178,6.43417269,-6.29912861,2.32e-05,0.001092425,2.93060037
226961_at,PRR15,226961_at,-2.673568205,6.720019224,-6.078403942,3.34e-05,0.001366991,2.56987083
203917_at,CXADR,203917_at,-2.671304139,8.979626742,-3.672879229,0.002656164,0.023199154,-1.775890984
203323_at,CAV2,203323_at,2.670192096,9.656644011,9.199379673,3.51e-07,0.000153216,7.025686716
220192_x_at,SPDEF,220192_x_at,-2.669225068,9.306008808,-7.338457808,4.59e-06,0.000454995,4.532498228
237390_at,ADRA1A,237390_at,2.66467365,4.401485741,6.677944064,1.26e-05,0.000780465,3.532843355
226304_at,HSPB6,226304_at,2.66411545,7.161328431,5.383865428,0.000109662,0.002783559,1.388167582
223623_at,ECRG4,223623_at,2.662314247,9.127598104,6.194722413,2.76e-05,0.001220738,2.7608707
206955_at,AQP7,206955_at,2.658482607,7.731481389,7.820117231,2.27e-06,0.000318068,5.222126966
215918_s_at,SPTBN1,215918_s_at,2.653066304,6.346347467,7.354504189,4.48e-06,0.000452444,4.555999192
220622_at,LRRC31,220622_at,-2.651858274,5.074634535,-3.251130214,0.00605173,0.040628477,-2.582215687
211695_x_at,MUC1,211695_x_at,-2.65026579,6.946519733,-5.847952754,4.92e-05,0.001682058,2.185553984
204404_at,SLC12A2,204404_at,-2.646809038,8.779939513,-3.846834548,0.001895632,0.018376535,-1.443428616
204026_s_at,ZWINT,204026_s_at,-2.640488264,7.724511447,-5.551184767,8.19e-05,0.002296548,1.679208232
201963_at,ACSL1,201963_at,2.637162012,10.36141619,6.786456141,1.07e-05,0.000699047,3.701444306
225655_at,UHRF1,225655_at,-2.63443892,7.330990017,-7.04986132,7.09e-06,0.000562848,4.103523489
204754_at,HLF,204754_at,2.634401852,6.755572845,7.852081554,2.17e-06,0.000314659,5.266751804
228770_at,GPR146,228770_at,2.629153651,7.072779264,9.477797437,2.47e-07,0.00012851,7.361087075
203535_at,S100A9,203535_at,-2.628979912,9.69881437,-2.743856262,0.016277031,0.080428982,-3.536564399
218542_at,CEP55,218542_at,-2.62635857,5.223511334,-5.639027011,7.03e-05,0.002097698,1.830411158
1562321_at,PDK4,1562321_at,2.622187636,6.667267515,3.463348372,0.003996117,0.030544903,-2.176890161
205780_at,BIK,205780_at,-2.614611737,7.684928369,-9.121632304,3.88e-07,0.000153216,6.930386568
213515_x_at,HBG2,213515_x_at,2.612007937,8.540903217,4.928190598,0.000247829,0.00471962,0.576164991
223704_s_at,DMRT2,223704_s_at,2.609907343,5.135940887,5.283293753,0.000130969,0.003119252,1.211347636
225571_at,LIFR,225571_at,2.609207712,6.095989853,8.05238954,1.63e-06,0.000277725,5.543230174
203213_at,CDK1,203213_at,-2.605340608,7.486159848,-6.776424019,1.08e-05,0.000704117,3.685929629
1566472_s_at,RETSAT,1566472_s_at,2.605185147,7.113834022,5.84211517,4.97e-05,0.001695135,2.175717358
203755_at,BUB1B,203755_at,-2.603366107,6.584761302,-6.651054626,1.32e-05,0.000799083,3.490795275
236534_at,BNIPL,236534_at,-2.602928569,6.687951573,-5.010415283,0.000213488,0.004278761,0.724703485
219064_at,ITIH5,219064_at,2.602780427,8.974906162,6.01726153,3.7e-05,0.001443272,2.468668896
242181_at,NA,242181_at,2.601159363,7.548398506,5.946127871,4.17e-05,0.001527661,2.350234634
200644_at,MARCKSL1,200644_at,-2.600818776,10.52134042,-6.853576774,9.6e-06,0.000657915,3.804865838
221872_at,RARRES1,221872_at,-2.599423812,9.448289255,-4.453140267,0.00059644,0.008395418,-0.297666808
218211_s_at,MLPH,218211_s_at,-2.595559384,10.51044006,-9.526533448,2.32e-07,0.000122446,7.418867208
209803_s_at,PHLDA2,209803_s_at,-2.594800291,7.846374316,-6.321397406,2.24e-05,0.001070973,2.966592539
219288_at,CEP15,219288_at,-2.593753694,9.489313715,-6.473208473,1.75e-05,0.000934945,3.209996332
218806_s_at,VAV3,218806_s_at,-2.592485191,7.331311703,-5.097433685,0.000182489,0.003840494,0.880958884
239710_at,FIGN,239710_at,2.592045098,4.536922303,11.0551394,3.87e-08,5.71e-05,9.099928967
219689_at,SEMA3G,219689_at,2.591881451,8.309879518,7.300635711,4.85e-06,0.000465113,4.476959987
227646_at,EBF1,227646_at,2.590753895,10.01853124,8.086208127,1.55e-06,0.000276037,5.589373999
229357_at,ADAMTS5,229357_at,2.587580115,7.73858777,6.006153096,3.77e-05,0.001452771,2.450223069
227419_x_at,PLAC9,227419_x_at,2.582985251,8.910074241,5.464448231,9.52e-05,0.002523444,1.528828782
219429_at,FA2H,219429_at,-2.578917748,6.419034866,-4.305456138,0.000787878,0.010174751,-0.574146622
209220_at,GPC3,209220_at,2.57840752,7.468252872,8.262210991,1.22e-06,0.000244723,5.827058584
203851_at,IGFBP6,203851_at,2.578119275,9.50676056,5.505241968,8.87e-05,0.00240644,1.599687822
204039_at,CEBPA,204039_at,2.578057388,9.22219056,5.77745139,5.55e-05,0.001810286,2.066422195
209772_s_at,CD24,209772_s_at,-2.577136108,9.54698069,-4.233714569,0.000902704,0.011067939,-0.709152143
214243_s_at,NA,214243_s_at,-2.571172126,8.082286602,-4.032555183,0.001325494,0.014382097,-1.089799333
206101_at,ECM2,206101_at,2.570177725,9.008443235,6.436568303,1.86e-05,0.000967296,3.151563178
232204_at,EBF1,232204_at,2.567633079,8.773581942,8.091825713,1.54e-06,0.000274766,5.597024068
202311_s_at,COL1A1,202311_s_at,-2.56401042,8.692069381,-3.504098493,0.003690455,0.029002465,-2.098915889
226863_at,FAM110C,226863_at,-2.563895091,6.826452593,-6.104660137,3.2e-05,0.001339618,2.613159861
207165_at,HMMR,207165_at,-2.560332653,5.95730661,-6.296717232,2.33e-05,0.00109485,2.926698536
201689_s_at,TPD52,201689_s_at,-2.558000752,8.484620547,-4.699544511,0.000376917,0.006162665,0.158764684
222725_s_at,PALMD,222725_s_at,2.557008955,5.986241456,7.390423441,4.24e-06,0.000440358,4.608472392
231697_s_at,NA,231697_s_at,-2.552033657,6.984423723,-6.507807767,1.66e-05,0.000909384,3.264991878
218736_s_at,PALMD,218736_s_at,2.546914882,8.823989432,7.993511866,1.77e-06,0.000289123,5.462527377
206392_s_at,RARRES1,206392_s_at,-2.54425864,8.739625596,-4.162800367,0.001033166,0.012106114,-0.843007987
200606_at,DSP,200606_at,-2.543444116,10.70167997,-3.343781713,0.005048357,0.035911946,-2.405464527
217504_at,ABCA6,217504_at,2.542350485,6.701849224,9.452983334,2.55e-07,0.000130203,7.331562628
1566764_at,MACC1,1566764_at,-2.541886423,5.98245917,-4.339949748,0.000738129,0.009738701,-0.509392368
203324_s_at,CAV2,203324_s_at,2.540317798,10.06706297,7.844726452,2.19e-06,0.000314659,5.256495874
222746_s_at,BSPRY,222746_s_at,-2.534253397,7.440896262,-6.803877767,1.04e-05,0.000690732,3.728351681
206166_s_at,CLCA2,206166_s_at,-2.533231094,6.606165378,-4.454297202,0.000595146,0.008382866,-0.29550904
207057_at,SLC16A7,207057_at,2.533119494,8.389846917,8.032239216,1.68e-06,0.000282189,5.515662981
230867_at,COL6A6,230867_at,2.532726855,6.810562629,3.606213244,0.003024133,0.025278167,-1.903468343
226777_at,ADAM12,226777_at,-2.53212425,8.368260946,-4.463231592,0.000585253,0.008283389,-0.278850173
205009_at,TFF1,205009_at,-2.524441971,8.537639718,-2.412943662,0.030706835,0.124584166,-4.136146423
227629_at,PRLR,227629_at,-2.521090452,7.841431324,-7.379679917,4.31e-06,0.000443799,4.592796781
203571_s_at,ADIRF,203571_s_at,2.520221442,11.4214459,5.052244386,0.000197955,0.004052115,0.799936799
229292_at,EPB41L5,229292_at,-2.519512171,6.646023571,-5.874895859,4.7e-05,0.001634753,2.230889757
219797_at,MGAT4A,219797_at,-2.517976243,6.378459292,-5.997489175,3.83e-05,0.001460565,2.435823768
200671_s_at,SPTBN1,200671_s_at,2.516433561,5.975256849,7.793785976,2.35e-06,0.000324216,5.185261031
242197_x_at,CD36,242197_x_at,2.511315047,5.667242655,6.164022946,2.9e-05,0.001257103,2.710655745
213764_s_at,MFAP5,213764_s_at,2.506274793,9.221485287,3.540521027,0.003437266,0.027669687,-2.029206958
229011_at,EMP1,229011_at,2.505917371,6.978527394,6.937238563,8.43e-06,0.000612352,3.932849692
218280_x_at,NA,218280_x_at,-2.505843333,9.45421344,-4.558421681,0.000489808,0.00731102,-0.10186025
228051_at,ARFGEF3,228051_at,-2.505786659,7.472328242,-5.466271872,9.49e-05,0.002519078,1.532001481
233932_at,NA,233932_at,2.505619849,5.702354167,5.521010829,8.63e-05,0.002369125,1.627015289
221747_at,TNS1,221747_at,2.500589632,9.360063749,7.096924101,6.6e-06,0.000550338,4.174298294
204419_x_at,HBG2,204419_x_at,2.500048377,7.872970456,4.863262437,0.000278978,0.005079458,0.458275788
230748_at,SLC16A6,230748_at,-2.497909519,6.354987854,-3.204637224,0.006628145,0.043203928,-2.670734912
238673_at,SAMD12,238673_at,-2.497408953,7.05878183,-5.43144192,0.000100876,0.002621383,1.471324759
230463_at,NA,230463_at,2.497093975,5.9868648,7.087796776,6.69e-06,0.000552117,4.160597376
209395_at,CHI3L1,209395_at,-2.49702966,8.683496415,-3.345507751,0.005031341,0.035842162,-2.402168103
213790_at,ADAM12,213790_at,-2.494856765,8.715537022,-4.09072016,0.001185691,0.013300713,-0.979445842
1555758_a_at,CDKN3,1555758_a_at,-2.493893507,6.149291944,-7.774609054,2.42e-06,0.000328313,5.158351737
201690_s_at,TPD52,201690_s_at,-2.493022614,9.768199125,-5.102036171,0.000180986,0.003824423,0.889195928
235129_at,PPP1R1A,235129_at,2.492991165,6.51202817,4.653027882,0.000410805,0.006540702,0.073100077
206164_at,CLCA2,206164_at,-2.491758361,6.800874045,-4.858207505,0.000281568,0.005109295,0.449075904
227803_at,ENPP5,227803_at,-2.489696788,6.934876012,-4.139738,0.001079645,0.012453499,-0.886621748
214040_s_at,GSN,214040_s_at,2.488935097,7.448717983,6.37513495,2.05e-05,0.001022386,3.053143053
228708_at,RAB27B,228708_at,-2.485894035,9.357243782,-4.996002589,0.000219129,0.004359861,0.698728965
207302_at,SGCG,207302_at,2.483640475,5.606369632,5.080866048,0.000188008,0.003920418,0.851284895
226625_at,TGFBR3,226625_at,2.480805847,9.961914158,8.590616369,7.79e-07,0.000195239,6.259700384
218009_s_at,PRC1,218009_s_at,-2.476831783,6.770631764,-6.09204283,3.27e-05,0.001356069,2.592370237
204798_at,MYB,204798_at,-2.476673218,8.016059606,-4.842366079,0.000289846,0.005213301,0.420224697
236383_at,NA,236383_at,2.476555699,6.036783371,6.401969455,1.97e-05,0.000997212,3.096202561
214455_at,H2BC4,214455_at,-2.472952966,5.502547861,-3.554391332,0.003345526,0.027138969,-2.002658573
210832_x_at,PTGER3,210832_x_at,2.468774241,7.001499216,6.329606596,2.21e-05,0.001065487,2.979842145
213486_at,COPG2IT1,213486_at,2.466921245,6.321502708,9.745912383,1.77e-07,0.000103062,7.675594411
205034_at,CCNE2,205034_at,-2.466885995,5.443463154,-5.836216529,5.02e-05,0.001707295,2.165772779
211597_s_at,HOPX,211597_s_at,-2.462433345,8.493103714,-9.380040342,2.79e-07,0.000135819,7.244358753
214434_at,HSPA12A,214434_at,2.460733551,7.031279296,5.688623067,6.46e-05,0.001984971,1.915290679
214279_s_at,NDRG2,214279_s_at,2.458465843,6.879917042,5.995818476,3.84e-05,0.001460611,2.433045816
214582_at,PDE3B,214582_at,2.45576694,6.855237042,5.69069179,6.43e-05,0.001980359,1.918823404
1555778_a_at,POSTN,1555778_a_at,-2.45560467,10.27035157,-4.620529218,0.00043634,0.006787168,0.013108003
202095_s_at,BIRC5,202095_s_at,-2.45415147,6.116310029,-7.15813819,6.01e-06,0.000523407,4.26587454
244444_at,PKD1L2,244444_at,2.452612088,4.812557342,5.179612641,0.000157503,0.003516326,1.027612911
210869_s_at,MCAM,210869_s_at,2.451345617,7.743876391,6.83221061,9.93e-06,0.000670106,3.772015976
218865_at,MTARC1,218865_at,2.450211401,8.742884957,6.681575388,1.26e-05,0.000777756,3.538513617
202489_s_at,FXYD3,202489_s_at,-2.448223812,9.550312002,-4.652230377,0.000411413,0.006542109,0.071629288
233011_at,ANXA1,233011_at,2.447455708,4.833835297,3.634564029,0.002861718,0.024367615,-1.849208319
218959_at,HOXC10,218959_at,-2.445532309,7.755396653,-7.74658059,2.52e-06,0.000334367,5.118930667
207828_s_at,CENPF,207828_s_at,-2.444989504,7.227491851,-6.975874756,7.95e-06,0.000592702,3.991609049
219121_s_at,ESRP1,219121_s_at,-2.444026419,7.672790636,-5.30447828,0.000126147,0.00304377,1.248709091
215145_s_at,CNTNAP2,215145_s_at,-2.442819278,6.63193874,-5.293482024,0.000128627,0.003085854,1.229323552
239461_at,GALNT15,239461_at,2.441982002,6.21168045,6.864819446,9.44e-06,0.000650585,3.822124235
238009_at,SOX5,238009_at,2.441772142,5.70972022,8.292588689,1.17e-06,0.000241799,5.867667508
228885_at,MAMDC2,228885_at,2.441638634,7.825960577,6.127517695,3.08e-05,0.001301785,2.650762349
223430_at,SIK2,223430_at,2.43985506,7.934328653,7.651021425,2.89e-06,0.000363669,4.983712799
228729_at,CCNB1,228729_at,-2.439690926,5.83125049,-5.549811862,8.21e-05,0.002299323,1.676836285
208016_s_at,AGTR1,208016_s_at,2.437675689,6.475984289,5.217134663,0.000147306,0.003376929,1.094274052
218807_at,VAV3,218807_at,-2.435130324,9.08651194,-4.984698308,0.000223662,0.00441826,0.678337885
219148_at,PBK,219148_at,-2.433759824,5.690276099,-5.070565769,0.000191526,0.003963553,0.832818174
212097_at,CAV1,212097_at,2.432582726,11.40511425,7.316625638,4.74e-06,0.000461705,4.500464635
228728_at,CPED1,228728_at,2.432111834,9.454702978,8.574285148,7.96e-07,0.000196892,6.238514214
203881_s_at,DMD,203881_s_at,2.427505561,7.937563263,11.06918574,3.81e-08,5.71e-05,9.114267333
217418_x_at,MS4A1,217418_x_at,-2.426729894,5.947950277,-3.594351785,0.003094826,0.025695061,-1.926171318
202884_s_at,PPP2R1B,202884_s_at,2.424587646,7.296274097,5.990426343,3.87e-05,0.001465904,2.424077251
210559_s_at,CDK1,210559_s_at,-2.424259635,6.300125135,-6.158240961,2.93e-05,0.001264139,2.701182535
214767_s_at,HSPB6,214767_s_at,2.423523214,6.8652301,5.744978402,5.86e-05,0.001874749,2.011305999
209603_at,GATA3,209603_at,-2.423473094,7.992944844,-3.692214493,0.002558183,0.022603213,-1.738900567
226018_at,MTURN,226018_at,2.422982635,7.051227308,7.926929537,1.95e-06,0.000302319,5.370699344
226834_at,CLMP,226834_at,2.4225102,8.519147032,5.757555571,5.74e-05,0.001852088,2.032671366
1553986_at,RASEF,1553986_at,-2.421699294,8.105513766,-4.315897285,0.000772465,0.01003895,-0.554534599
204607_at,HMGCS2,204607_at,-2.415841095,8.52626692,-2.711968627,0.017313032,0.084051679,-3.595367973
32625_at,NPR1,32625_at,2.414867813,8.06389786,6.990374234,7.77e-06,0.000584432,4.013604204
241925_x_at,SLC16A7,241925_x_at,2.413800282,5.860889492,5.817998086,5.18e-05,0.00173883,2.135025964
203358_s_at,EZH2,203358_s_at,-2.410785578,5.992943671,-6.815349427,1.02e-05,0.000681242,3.746045085
204159_at,CDKN2C,204159_at,2.407827481,8.916775532,9.130352579,3.83e-07,0.000153216,6.941111714
203362_s_at,MAD2L1,203362_s_at,-2.407389649,7.189790651,-5.15750695,0.000163852,0.00360653,0.988251915
209008_x_at,KRT8,209008_x_at,-2.403930532,9.574788842,-5.190567462,0.000154452,0.003469464,1.047094652
1556427_s_at,LRRN4CL,1556427_s_at,2.403523861,7.849967529,5.476647359,9.32e-05,0.002491395,1.550043418
235763_at,SLC44A5,235763_at,-2.40327992,4.998713959,-3.035367995,0.009229015,0.054415658,-2.991629995
221748_s_at,TNS1,221748_s_at,2.401857873,11.6155087,8.297018238,1.16e-06,0.000241244,5.873578797
215768_at,NA,215768_at,2.398804316,5.130440998,6.540900208,1.57e-05,0.000881331,3.317426202
227006_at,PPP1R14A,227006_at,2.3967555,7.218560548,9.983347497,1.33e-07,9.08e-05,7.947368601
1560049_at,NA,1560049_at,2.394356407,7.140826925,6.410689853,1.94e-05,0.000987831,3.110172571
229487_at,EBF1,229487_at,2.393669764,7.060816709,7.678202307,2.78e-06,0.000357824,5.022303169
218711_s_at,CAVIN2,218711_s_at,2.39243445,6.185576073,10.36336157,8.48e-08,7.8e-05,8.36959711
34210_at,CD52,34210_at,-2.392092053,8.875874517,-4.654146102,0.000409955,0.006530963,0.075162221
219874_at,SLC12A8,219874_at,-2.390212181,6.922616872,-12.40690703,9.29e-09,3.74e-05,10.3970834
227190_at,TMEM37,227190_at,2.386132926,8.177164998,5.743523856,5.88e-05,0.00187779,2.008833616
209576_at,GNAI1,209576_at,2.385387611,7.59459922,7.234764453,5.36e-06,0.000488342,4.379745587
1560850_at,LOC101926959,1560850_at,-2.38516817,6.207767663,-3.308739264,0.005406585,0.037581528,-2.47236276
226960_at,CXCL17,226960_at,-2.383594956,8.062212951,-2.591370128,0.021843512,0.098563507,-3.815948669
209604_s_at,GATA3,209604_s_at,-2.380568724,11.22216891,-3.65908604,0.002728379,0.023622188,-1.802282465
209184_s_at,IRS2,209184_s_at,2.38027787,8.992453916,6.598153379,1.44e-05,0.000838397,3.407759545
204570_at,COX7A1,204570_at,2.375763019,9.417726369,6.981829517,7.87e-06,0.000589706,4.000645902
225301_s_at,MYO5B,225301_s_at,-2.375251341,8.997067049,-5.697291809,6.36e-05,0.00197196,1.930090008
210831_s_at,PTGER3,210831_s_at,2.374219434,6.958317484,7.303189412,4.83e-06,0.0004651,4.480716292
1558420_at,C14orf180,1558420_at,2.371243824,6.781312251,6.700786901,1.22e-05,0.000762457,3.568479735
203936_s_at,MMP9,203936_s_at,-2.37016632,8.599674304,-3.940295997,0.00158276,0.016245055,-1.26525174
208180_s_at,H4C8,208180_s_at,-2.368908637,5.80929201,-3.98425482,0.001454357,0.015350793,-1.181594579
236293_at,RHOH,236293_at,-2.36509278,6.572580797,-5.800144044,5.34e-05,0.001769235,2.104847053
222161_at,NAALAD2,222161_at,2.364702714,4.579448778,5.12626355,0.000173284,0.003728572,0.932509593
205980_s_at,NA,205980_s_at,-2.363517883,7.340292305,-5.853347866,4.88e-05,0.001674484,2.194640583
218883_s_at,CENPU,218883_s_at,-2.362943817,7.744363348,-4.722377627,0.000361355,0.00599973,0.20072435
238439_at,ANKRD22,238439_at,-2.362719985,5.894023421,-4.606498362,0.000447867,0.006888089,-0.012828479
213221_s_at,SIK2,213221_s_at,2.361857485,6.916987025,8.441103229,9.53e-07,0.000217076,6.064463847
210072_at,CCL19,210072_at,-2.361450098,9.106472202,-4.704291944,0.000373625,0.00612627,0.167493785
218355_at,KIF4A,218355_at,-2.360828249,5.860957336,-6.355779288,2.12e-05,0.001041038,3.022017949
219450_at,PGCKA1,219450_at,2.360467955,5.673993475,11.1716135,3.4e-08,5.63e-05,9.218252389
205960_at,PDK4,205960_at,2.359357187,6.108025361,6.497950266,1.68e-05,0.000915578,3.249341477
204848_x_at,NA,204848_x_at,2.358567155,7.881397698,4.590315251,0.000461554,0.007049008,-0.042769916
223551_at,PKIB,223551_at,-2.357746724,7.529440994,-4.070548831,0.001232378,0.013676911,-1.01769127
217276_x_at,SERHL2,217276_x_at,-2.354794592,8.113074725,-3.585386123,0.003149368,0.026006898,-1.943332077
238752_at,GPLD1,238752_at,2.354568514,4.78268733,5.2381499,0.000141898,0.003294392,1.131526538
202350_s_at,MATN2,202350_s_at,2.353990394,9.08794268,7.195738907,5.68e-06,0.00050511,4.321856993
209714_s_at,CDKN3,209714_s_at,-2.353692123,6.044201473,-7.496551725,3.63e-06,0.000408891,4.762442549
205239_at,AREG,205239_at,-2.35317095,7.637934023,-2.378892998,0.032751143,0.13027783,-4.196290374
215039_at,LINC01140,215039_at,2.352334887,8.024484359,5.433070968,0.000100588,0.0026154,1.474166501
204563_at,SELL,204563_at,-2.349380133,7.514049679,-4.007528528,0.001390737,0.01488148,-1.137345741
209183_s_at,DEPP1,209183_s_at,2.348532578,9.847254002,9.912772088,1.45e-07,9.42e-05,7.867236993
225575_at,LIFR,225575_at,2.347042572,8.652423773,10.65792939,6.04e-08,6.63e-05,8.686467257
205290_s_at,BMP2,205290_s_at,2.342893087,5.547056012,5.873484799,4.71e-05,0.00163603,2.22851808
229764_at,TPRG1,229764_at,2.341695481,6.021263735,3.061235646,0.008774106,0.052451812,-2.942756902
238003_at,HEPACAM,238003_at,2.340968599,5.766454331,7.089308533,6.68e-06,0.000552117,4.16286749
213005_s_at,KANK1,213005_s_at,2.340254129,9.164547288,8.279623521,1.19e-06,0.00024339,5.850350511
224476_s_at,MESP1,224476_s_at,2.338577856,7.179571348,6.673384653,1.27e-05,0.000782575,3.525721143
206337_at,CCR7,206337_at,-2.33777629,7.154511473,-4.628353075,0.000430046,0.006729474,0.027561336
235629_at,NA,235629_at,-2.336007364,6.275581819,-4.424090803,0.00062989,0.008718798,-0.351888941
221104_s_at,NIPSNAP3B,221104_s_at,2.334743134,4.911616416,5.7651323,5.67e-05,0.00183911,2.045531161
225645_at,EHF,225645_at,-2.334442204,9.599271895,-2.249914526,0.041729229,0.15377405,-4.420906704
204268_at,S100A2,204268_at,-2.332546502,7.368312284,-4.261303238,0.000856636,0.01072537,-0.657184119
203878_s_at,MMP11,203878_s_at,-2.331404002,8.437411583,-7.837792775,2.21e-06,0.000314704,5.246820795
213895_at,EMP1,213895_at,2.330179753,5.467220002,5.72457501,6.07e-05,0.001915527,1.976596975
228303_at,GALNT6,228303_at,-2.329566028,7.356767082,-5.570129834,7.92e-05,0.002249155,1.711911861
235316_at,NAT8L,235316_at,2.32894815,6.509266095,6.297537101,2.33e-05,0.001094325,2.928025258
217755_at,JPT1,217755_at,-2.326091402,8.784604757,-6.394839259,1.99e-05,0.001002267,3.084771651
213765_at,MFAP5,213765_at,2.323827091,8.95893536,3.331986871,0.005166192,0.036423151,-2.427987396
205005_s_at,NMT2,205005_s_at,2.323285682,7.081177717,10.92839424,4.45e-08,5.74e-05,8.969684749
235463_s_at,CERS6,235463_s_at,-2.320843714,6.553218111,-11.49291924,2.4e-08,5.11e-05,9.538023397
221558_s_at,LEF1,221558_s_at,-2.317180061,8.122548646,-7.168449172,5.92e-06,0.000519127,4.2812465
205208_at,ALDH1L1,205208_at,2.315808147,7.934988695,7.046882387,7.13e-06,0.000563784,4.09903284
89977_at,ACSM5,89977_at,2.31544877,6.990852575,6.668725725,1.28e-05,0.000785579,3.518440303
227529_s_at,AKAP12,227529_s_at,2.314435188,6.989381681,5.708364204,6.24e-05,0.001949206,1.948977035
219410_at,TMEM45A,219410_at,-2.313245268,9.246021236,-3.731280236,0.002371264,0.021450841,-1.664185779
235737_at,TSLP,235737_at,2.310272784,4.597157248,9.010937146,4.47e-07,0.000154716,6.793442841
205681_at,BCL2A1,205681_at,-2.307950214,5.716961285,-4.883125012,0.000269039,0.004957772,0.494395103
230378_at,SCGB3A1,230378_at,2.307343283,7.342375121,2.735735865,0.016534963,0.081262843,-3.551556804
222680_s_at,DTL,222680_s_at,-2.306594221,6.014094788,-3.867315143,0.001822062,0.017856466,-1.404351115
203414_at,MMD,203414_at,2.306017535,10.51862305,5.707431609,6.25e-05,0.001949868,1.947386922
218541_s_at,TCIM,218541_s_at,-2.304005805,7.726044169,-3.791347575,0.002110534,0.01982287,-1.549378839
223864_at,ANKRD30A,223864_at,-2.302794761,7.864431983,-3.423213486,0.004322114,0.032283414,-2.253658657
205513_at,TCN1,205513_at,-2.302455417,6.799323004,-2.320384828,0.036569647,0.140846148,-4.298831938
1552767_a_at,HS6ST2,1552767_a_at,-2.3015175,5.532236937,-3.025943225,0.009400509,0.055046892,-3.009419567
229580_at,CLSTN2,229580_at,2.300495988,7.843037433,4.14427744,0.00107033,0.012387864,-0.878034055
239272_at,MMP28,239272_at,2.300365456,5.644798704,5.906395853,4.46e-05,0.00158071,2.283758077
213844_at,HOXA5,213844_at,2.298503576,8.114747564,7.759245125,2.47e-06,0.00033154,5.136756322
204661_at,CD52,204661_at,-2.297309381,8.652376584,-4.510528052,0.000535638,0.007789605,-0.190794792
